| Фаза   | Таймер   | Ресурс | FEC                                                                    | CEC                                                                    |
| ФП     | 2534.5   | 1      | "15,2492.6,10,11; 16,2526.5,7,8"                                       | "17,2527.4,1,2; 14,2534.5,10,11"                                       |
| ФП     | 2534.5   | 1      | "15,2492.6,10,11; 16,2526.5,7,8; 18,2659.1,0,1"                        | "17,2527.4,2,3; 14,2534.5,10,11"                                       |
| ФП     | 2534.5   | 1      | "15,2492.6,10,11; 16,2526.5,7,8; 18,2659.1,0,1"                        | "17,2527.4,3,4; 14,2534.5,10,11"                                       |
| ФП     | 2534.5   | 1      | "15,2492.6,10,11; 16,2526.5,7,8; 18,2659.1,0,1; 17,2686.3,4,5"         | "14,2534.5,10,11"                                                      |
| ФП     | 2534.5   | 1      | "15,2492.6,10,11; 16,2526.5,7,8; 18,2659.1,0,1; 17,2686.3,4,5"         | "14,2534.5,11,11"                                                      |
| ФКТ    | 2686.3   | 1      | "15,2492.6,10,11; 16,2526.5,7,8; 18,2659.1,0,1; 17,2686.3,4,5"         | ""                                                                     |
| ФКТ    | 2686.3   | 1      | "16,2526.5,7,8; 18,2659.1,0,1; 17,2686.3,4,5"                          | "15,2492.6,10,11"                                                      |
| ФКТ    | 2686.3   | 1      | "18,2659.1,0,1; 17,2686.3,4,5"                                         | "15,2492.6,10,11; 16,2526.5,7,8"                                       |
| ФКТ    | 2686.3   | 1      | "17,2686.3,4,5"                                                        | "15,2492.6,10,11; 16,2526.5,7,8; 18,2659.1,0,1"                        |
| ФП     | 2686.3   | 1      | ""                                                                     | "15,2492.6,10,11; 16,2526.5,7,8; 18,2659.1,0,1; 17,2686.3,4,5"         |
| ФП     | 2686.3   | 1      | ""                                                                     | "15,2492.6,11,11; 16,2526.5,7,8; 18,2659.1,0,1; 17,2686.3,4,5"         |
| ФП     | 2686.3   | 1      | ""                                                                     | "16,2526.5,7,8; 18,2659.1,0,1; 17,2686.3,4,5"                          |
| ФП     | 2686.3   | 0      | ""                                                                     | "16,2526.5,8,9; 18,2659.1,0,1; 17,2686.3,4,5"                          |
| ФП     | 2686.3   | 0      | ""                                                                     | "16,2526.5,9,10; 18,2659.1,0,1; 17,2686.3,4,5"                         |
| ФП     | 2686.3   | 0      | "16,2558.7,10,11"                                                      | "18,2659.1,0,1; 17,2686.3,4,5"                                         |
| ФП     | 2686.3   | 0      | "16,2558.7,10,11"                                                      | "18,2659.1,1,2; 17,2686.3,4,5"                                         |
| ФП     | 2686.3   | 0      | "16,2558.7,10,11; 19,2805.1,0,1"                                       | "18,2659.1,2,3; 17,2686.3,4,5"                                         |
| ФП     | 2686.3   | 0      | "16,2558.7,10,11; 19,2805.1,0,1"                                       | "18,2659.1,3,4; 17,2686.3,4,5"                                         |
| ФП     | 2686.3   | 0      | "16,2558.7,10,11; 18,2697.8,4,5; 19,2805.1,0,1"                        | "17,2686.3,4,5"                                                        |
| ФП     | 2686.3   | 0      | "16,2558.7,10,11; 18,2697.8,4,5; 19,2805.1,0,1"                        | "17,2686.3,5,6"                                                        |
| ФП     | 2686.3   | 1      | "16,2558.7,10,11; 18,2697.8,4,5; 19,2805.1,0,1"                        | "17,2686.3,6,7"                                                        |
| ФКТ    | 2697.8   | 1      | "16,2558.7,10,11; 18,2697.8,4,5; 19,2805.1,0,1; 17,2869.9,7,8"         | ""                                                                     |
| ФКТ    | 2697.8   | 1      | "18,2697.8,4,5; 19,2805.1,0,1; 17,2869.9,7,8"                          | "16,2558.7,10,11"                                                      |
| ФП     | 2697.8   | 1      | "19,2805.1,0,1; 17,2869.9,7,8"                                         | "16,2558.7,10,11; 18,2697.8,4,5"                                       |
| ФП     | 2697.8   | 1      | "19,2805.1,0,1; 17,2869.9,7,8"                                         | "16,2558.7,11,11; 18,2697.8,4,5"                                       |
| ФП     | 2697.8   | 1      | "19,2805.1,0,1; 17,2869.9,7,8"                                         | "18,2697.8,4,5"                                                        |
| ФП     | 2697.8   | 1      | "19,2805.1,0,1; 17,2869.9,7,8"                                         | "18,2697.8,5,6"                                                        |
| ФП     | 2697.8   | 2      | "19,2805.1,0,1; 17,2869.9,7,8"                                         | "18,2697.8,6,7"                                                        |
| ФКТ    | 2805.1   | 2      | "19,2805.1,0,1; 17,2869.9,7,8; 18,2893.0,7,8"                          | ""                                                                     |
| ФП     | 2805.1   | 2      | "17,2869.9,7,8; 18,2893.0,7,8"                                         | "19,2805.1,0,1"                                                        |
| ФП     | 2805.1   | 2      | "17,2869.9,7,8; 18,2893.0,7,8"                                         | "19,2805.1,1,2"                                                        |
| ФП     | 2805.1   | 2      | "17,2869.9,7,8; 18,2893.0,7,8; 20,2921.4,0,1"                          | "19,2805.1,2,3"                                                        |
| ФП     | 2805.1   | 2      | "17,2869.9,7,8; 18,2893.0,7,8; 20,2921.4,0,1"                          | "19,2805.1,3,4"                                                        |
| ФКТ    | 2880.9   | 2      | "17,2869.9,7,8; 19,2880.9,4,5; 18,2893.0,7,8; 20,2921.4,0,1"           | ""                                                                     |
| ФКТ    | 2880.9   | 2      | "19,2880.9,4,5; 18,2893.0,7,8; 20,2921.4,0,1"                          | "17,2869.9,7,8"                                                        |
| ФП     | 2880.9   | 2      | "18,2893.0,7,8; 20,2921.4,0,1"                                         | "17,2869.9,7,8; 19,2880.9,4,5"                                         |
| ФП     | 2880.9   | 1      | "18,2893.0,7,8; 20,2921.4,0,1"                                         | "17,2869.9,8,9; 19,2880.9,4,5"                                         |
| ФП     | 2880.9   | 1      | "18,2893.0,7,8; 20,2921.4,0,1"                                         | "17,2869.9,9,10; 19,2880.9,4,5"                                        |
| ФП     | 2880.9   | 1      | "18,2893.0,7,8; 20,2921.4,0,1; 17,3018.7,10,11"                        | "19,2880.9,4,5"                                                        |
| ФП     | 2880.9   | 1      | "18,2893.0,7,8; 20,2921.4,0,1; 17,3018.7,10,11"                        | "19,2880.9,5,6"                                                        |
| ФП     | 2880.9   | 2      | "18,2893.0,7,8; 20,2921.4,0,1; 17,3018.7,10,11"                        | "19,2880.9,6,7"                                                        |
| ФКТ    | 3018.7   | 2      | "18,2893.0,7,8; 20,2921.4,0,1; 17,3018.7,10,11; 19,3063.0,7,8"         | ""                                                                     |
| ФКТ    | 3018.7   | 2      | "20,2921.4,0,1; 17,3018.7,10,11; 19,3063.0,7,8"                        | "18,2893.0,7,8"                                                        |
| ФКТ    | 3018.7   | 2      | "17,3018.7,10,11; 19,3063.0,7,8"                                       | "18,2893.0,7,8; 20,2921.4,0,1"                                         |
| ФП     | 3018.7   | 2      | "19,3063.0,7,8"                                                        | "18,2893.0,7,8; 20,2921.4,0,1; 17,3018.7,10,11"                        |
| ФП     | 3018.7   | 1      | "19,3063.0,7,8"                                                        | "18,2893.0,8,9; 20,2921.4,0,1; 17,3018.7,10,11"                        |
| ФП     | 3018.7   | 1      | "19,3063.0,7,8"                                                        | "18,2893.0,9,10; 20,2921.4,0,1; 17,3018.7,10,11"                       |
| ФП     | 3018.7   | 1      | "18,3009.1,10,11; 19,3063.0,7,8"                                       | "20,2921.4,0,1; 17,3018.7,10,11"                                       |
| ФП     | 3018.7   | 1      | "18,3009.1,10,11; 19,3063.0,7,8"                                       | "20,2921.4,1,2; 17,3018.7,10,11"                                       |
| ФП     | 3018.7   | 1      | "18,3009.1,10,11; 19,3063.0,7,8; 21,3127.6,0,1"                        | "20,2921.4,2,3; 17,3018.7,10,11"                                       |
| ФП     | 3018.7   | 1      | "18,3009.1,10,11; 19,3063.0,7,8; 21,3127.6,0,1"                        | "20,2921.4,3,4; 17,3018.7,10,11"                                       |
| ФП     | 3018.7   | 1      | "18,3009.1,10,11; 19,3063.0,7,8; 20,3072.1,4,5; 21,3127.6,0,1"         | "17,3018.7,10,11"                                                      |
| ФП     | 3018.7   | 1      | "18,3009.1,10,11; 19,3063.0,7,8; 20,3072.1,4,5; 21,3127.6,0,1"         | "17,3018.7,11,11"                                                      |
| ФКТ    | 3072.1   | 1      | "18,3009.1,10,11; 19,3063.0,7,8; 20,3072.1,4,5; 21,3127.6,0,1"         | ""                                                                     |
| ФКТ    | 3072.1   | 1      | "19,3063.0,7,8; 20,3072.1,4,5; 21,3127.6,0,1"                          | "18,3009.1,10,11"                                                      |
| ФКТ    | 3072.1   | 1      | "20,3072.1,4,5; 21,3127.6,0,1"                                         | "18,3009.1,10,11; 19,3063.0,7,8"                                       |
| ФП     | 3072.1   | 1      | "21,3127.6,0,1"                                                        | "18,3009.1,10,11; 19,3063.0,7,8; 20,3072.1,4,5"                        |
| ФП     | 3072.1   | 1      | "21,3127.6,0,1"                                                        | "18,3009.1,11,11; 19,3063.0,7,8; 20,3072.1,4,5"                        |
| ФП     | 3072.1   | 1      | "21,3127.6,0,1"                                                        | "19,3063.0,7,8; 20,3072.1,4,5"                                         |
| ФП     | 3072.1   | 0      | "21,3127.6,0,1"                                                        | "19,3063.0,8,9; 20,3072.1,4,5"                                         |
| ФП     | 3072.1   | 0      | "21,3127.6,0,1"                                                        | "19,3063.0,9,10; 20,3072.1,4,5"                                        |
| ФП     | 3072.1   | 0      | "19,3122.8,10,11; 21,3127.6,0,1"                                       | "20,3072.1,4,5"                                                        |
| ФП     | 3072.1   | 0      | "19,3122.8,10,11; 21,3127.6,0,1"                                       | "20,3072.1,5,6"                                                        |
| ФП     | 3072.1   | 1      | "19,3122.8,10,11; 21,3127.6,0,1"                                       | "20,3072.1,6,7"                                                        |
| ФКТ    | 3122.8   | 1      | "19,3122.8,10,11; 21,3127.6,0,1; 20,3248.4,7,8"                        | ""                                                                     |
| ФП     | 3122.8   | 1      | "21,3127.6,0,1; 20,3248.4,7,8"                                         | "19,3122.8,10,11"                                                      |
| ФП     | 3122.8   | 1      | "21,3127.6,0,1; 20,3248.4,7,8"                                         | "19,3122.8,11,11"                                                      |
| ФКТ    | 3127.6   | 1      | "21,3127.6,0,1; 20,3248.4,7,8"                                         | ""                                                                     |
| ФП     | 3127.6   | 1      | "20,3248.4,7,8"                                                        | "21,3127.6,0,1"                                                        |
| ФП     | 3127.6   | 1      | "20,3248.4,7,8"                                                        | "21,3127.6,1,2"                                                        |
| ФП     | 3127.6   | 1      | "20,3248.4,7,8; 22,3256.4,0,1"                                         | "21,3127.6,2,3"                                                        |
| ФП     | 3127.6   | 1      | "20,3248.4,7,8; 22,3256.4,0,1"                                         | "21,3127.6,3,4"                                                        |
| ФКТ    | 3157.4   | 1      | "21,3157.4,4,5; 20,3248.4,7,8; 22,3256.4,0,1"                          | ""                                                                     |
| ФП     | 3157.4   | 1      | "20,3248.4,7,8; 22,3256.4,0,1"                                         | "21,3157.4,4,5"                                                        |
| ФП     | 3157.4   | 1      | "20,3248.4,7,8; 22,3256.4,0,1"                                         | "21,3157.4,5,6"                                                        |
| ФП     | 3157.4   | 2      | "20,3248.4,7,8; 22,3256.4,0,1"                                         | "21,3157.4,6,7"                                                        |
| ФКТ    | 3248.4   | 2      | "20,3248.4,7,8; 22,3256.4,0,1; 21,3340.9,7,8"                          | ""                                                                     |
| ФП     | 3248.4   | 2      | "22,3256.4,0,1; 21,3340.9,7,8"                                         | "20,3248.4,7,8"                                                        |
| ФП     | 3248.4   | 1      | "22,3256.4,0,1; 21,3340.9,7,8"                                         | "20,3248.4,8,9"                                                        |
| ФП     | 3248.4   | 1      | "22,3256.4,0,1; 21,3340.9,7,8"                                         | "20,3248.4,9,10"                                                       |
| ФКТ    | 3277.3   | 1      | "22,3256.4,0,1; 20,3277.3,10,11; 21,3340.9,7,8"                        | ""                                                                     |
| ФКТ    | 3277.3   | 1      | "20,3277.3,10,11; 21,3340.9,7,8"                                       | "22,3256.4,0,1"                                                        |
| ФП     | 3277.3   | 1      | "21,3340.9,7,8"                                                        | "22,3256.4,0,1; 20,3277.3,10,11"                                       |
| ФП     | 3277.3   | 1      | "21,3340.9,7,8"                                                        | "22,3256.4,1,2; 20,3277.3,10,11"                                       |
| ФП     | 3277.3   | 1      | "21,3340.9,7,8; 23,3398.4,0,1"                                         | "22,3256.4,2,3; 20,3277.3,10,11"                                       |
| ФП     | 3277.3   | 1      | "21,3340.9,7,8; 23,3398.4,0,1"                                         | "22,3256.4,3,4; 20,3277.3,10,11"                                       |
| ФП     | 3277.3   | 1      | "21,3340.9,7,8; 22,3341.0,4,5; 23,3398.4,0,1"                          | "20,3277.3,10,11"                                                      |
| ФП     | 3277.3   | 1      | "21,3340.9,7,8; 22,3341.0,4,5; 23,3398.4,0,1"                          | "20,3277.3,11,11"                                                      |
| ФКТ    | 3341.0   | 1      | "21,3340.9,7,8; 22,3341.0,4,5; 23,3398.4,0,1"                          | ""                                                                     |
| ФКТ    | 3341.0   | 1      | "22,3341.0,4,5; 23,3398.4,0,1"                                         | "21,3340.9,7,8"                                                        |
| ФП     | 3341.0   | 1      | "23,3398.4,0,1"                                                        | "21,3340.9,7,8; 22,3341.0,4,5"                                         |
| ФП     | 3341.0   | 0      | "23,3398.4,0,1"                                                        | "21,3340.9,8,9; 22,3341.0,4,5"                                         |
| ФП     | 3341.0   | 0      | "23,3398.4,0,1"                                                        | "21,3340.9,9,10; 22,3341.0,4,5"                                        |
| ФП     | 3341.0   | 0      | "21,3394.8,10,11; 23,3398.4,0,1"                                       | "22,3341.0,4,5"                                                        |
| ФП     | 3341.0   | 0      | "21,3394.8,10,11; 23,3398.4,0,1"                                       | "22,3341.0,5,6"                                                        |
| ФП     | 3341.0   | 1      | "21,3394.8,10,11; 23,3398.4,0,1"                                       | "22,3341.0,6,7"                                                        |
| ФКТ    | 3394.8   | 1      | "21,3394.8,10,11; 23,3398.4,0,1; 22,3513.0,7,8"                        | ""                                                                     |
| ФП     | 3394.8   | 1      | "23,3398.4,0,1; 22,3513.0,7,8"                                         | "21,3394.8,10,11"                                                      |
| ФП     | 3394.8   | 1      | "23,3398.4,0,1; 22,3513.0,7,8"                                         | "21,3394.8,11,11"                                                      |
| ФКТ    | 3398.4   | 1      | "23,3398.4,0,1; 22,3513.0,7,8"                                         | ""                                                                     |
| ФП     | 3398.4   | 1      | "22,3513.0,7,8"                                                        | "23,3398.4,0,1"                                                        |
| ФП     | 3398.4   | 1      | "22,3513.0,7,8"                                                        | "23,3398.4,1,2"                                                        |
| ФП     | 3398.4   | 1      | "22,3513.0,7,8; 24,3521.4,0,1"                                         | "23,3398.4,2,3"                                                        |
| ФП     | 3398.4   | 1      | "22,3513.0,7,8; 24,3521.4,0,1"                                         | "23,3398.4,3,4"                                                        |
| ФКТ    | 3454.6   | 1      | "23,3454.6,4,5; 22,3513.0,7,8; 24,3521.4,0,1"                          | ""                                                                     |
| ФП     | 3454.6   | 1      | "22,3513.0,7,8; 24,3521.4,0,1"                                         | "23,3454.6,4,5"                                                        |
| ФП     | 3454.6   | 1      | "22,3513.0,7,8; 24,3521.4,0,1"                                         | "23,3454.6,5,6"                                                        |
| ФП     | 3454.6   | 2      | "22,3513.0,7,8; 24,3521.4,0,1"                                         | "23,3454.6,6,7"                                                        |
| ФКТ    | 3513.0   | 2      | "22,3513.0,7,8; 24,3521.4,0,1; 23,3632.7,7,8"                          | ""                                                                     |
| ФП     | 3513.0   | 2      | "24,3521.4,0,1; 23,3632.7,7,8"                                         | "22,3513.0,7,8"                                                        |
| ФП     | 3513.0   | 1      | "24,3521.4,0,1; 23,3632.7,7,8"                                         | "22,3513.0,8,9"                                                        |
| ФП     | 3513.0   | 1      | "24,3521.4,0,1; 23,3632.7,7,8"                                         | "22,3513.0,9,10"                                                       |
| ФКТ    | 3605.2   | 1      | "24,3521.4,0,1; 22,3605.2,10,11; 23,3632.7,7,8"                        | ""                                                                     |
| ФКТ    | 3605.2   | 1      | "22,3605.2,10,11; 23,3632.7,7,8"                                       | "24,3521.4,0,1"                                                        |
| ФП     | 3605.2   | 1      | "23,3632.7,7,8"                                                        | "24,3521.4,0,1; 22,3605.2,10,11"                                       |
| ФП     | 3605.2   | 1      | "23,3632.7,7,8"                                                        | "24,3521.4,1,2; 22,3605.2,10,11"                                       |
| ФП     | 3605.2   | 1      | "23,3632.7,7,8; 25,3719.2,0,1"                                         | "24,3521.4,2,3; 22,3605.2,10,11"                                       |
| ФП     | 3605.2   | 1      | "23,3632.7,7,8; 25,3719.2,0,1"                                         | "24,3521.4,3,4; 22,3605.2,10,11"                                       |
| ФП     | 3605.2   | 1      | "24,3620.6,4,5; 23,3632.7,7,8; 25,3719.2,0,1"                          | "22,3605.2,10,11"                                                      |
| ФП     | 3605.2   | 1      | "24,3620.6,4,5; 23,3632.7,7,8; 25,3719.2,0,1"                          | "22,3605.2,11,11"                                                      |
| ФКТ    | 3620.6   | 1      | "24,3620.6,4,5; 23,3632.7,7,8; 25,3719.2,0,1"                          | ""                                                                     |
| ФП     | 3620.6   | 1      | "23,3632.7,7,8; 25,3719.2,0,1"                                         | "24,3620.6,4,5"                                                        |
| ФП     | 3620.6   | 1      | "23,3632.7,7,8; 25,3719.2,0,1"                                         | "24,3620.6,5,6"                                                        |
| ФП     | 3620.6   | 2      | "23,3632.7,7,8; 25,3719.2,0,1"                                         | "24,3620.6,6,7"                                                        |
| ФКТ    | 3632.7   | 2      | "23,3632.7,7,8; 25,3719.2,0,1; 24,3812.5,7,8"                          | ""                                                                     |
| ФП     | 3632.7   | 2      | "25,3719.2,0,1; 24,3812.5,7,8"                                         | "23,3632.7,7,8"                                                        |
| ФП     | 3632.7   | 1      | "25,3719.2,0,1; 24,3812.5,7,8"                                         | "23,3632.7,8,9"                                                        |
| ФП     | 3632.7   | 1      | "25,3719.2,0,1; 24,3812.5,7,8"                                         | "23,3632.7,9,10"                                                       |
| ФКТ    | 3800.9   | 1      | "25,3719.2,0,1; 23,3800.9,10,11; 24,3812.5,7,8"                        | ""                                                                     |
| ФКТ    | 3800.9   | 1      | "23,3800.9,10,11; 24,3812.5,7,8"                                       | "25,3719.2,0,1"                                                        |
| ФП     | 3800.9   | 1      | "24,3812.5,7,8"                                                        | "25,3719.2,0,1; 23,3800.9,10,11"                                       |
| ФП     | 3800.9   | 1      | "24,3812.5,7,8"                                                        | "25,3719.2,1,2; 23,3800.9,10,11"                                       |
| ФП     | 3800.9   | 1      | "24,3812.5,7,8; 26,3916.5,0,1"                                         | "25,3719.2,2,3; 23,3800.9,10,11"                                       |
| ФП     | 3800.9   | 1      | "24,3812.5,7,8; 26,3916.5,0,1"                                         | "25,3719.2,3,4; 23,3800.9,10,11"                                       |
| ФП     | 3800.9   | 1      | "25,3731.3,4,5; 24,3812.5,7,8; 26,3916.5,0,1"                          | "23,3800.9,10,11"                                                      |
| ФП     | 3800.9   | 1      | "25,3731.3,4,5; 24,3812.5,7,8; 26,3916.5,0,1"                          | "23,3800.9,11,11"                                                      |
| ФКТ    | 3731.3   | 1      | "25,3731.3,4,5; 24,3812.5,7,8; 26,3916.5,0,1"                          | ""                                                                     |
| ФП     | 3731.3   | 1      | "24,3812.5,7,8; 26,3916.5,0,1"                                         | "25,3731.3,4,5"                                                        |
| ФП     | 3731.3   | 1      | "24,3812.5,7,8; 26,3916.5,0,1"                                         | "25,3731.3,5,6"                                                        |
| ФП     | 3731.3   | 2      | "24,3812.5,7,8; 26,3916.5,0,1"                                         | "25,3731.3,6,7"                                                        |
| ФКТ    | 3812.5   | 2      | "24,3812.5,7,8; 25,3910.2,7,8; 26,3916.5,0,1"                          | ""                                                                     |
| ФП     | 3812.5   | 2      | "25,3910.2,7,8; 26,3916.5,0,1"                                         | "24,3812.5,7,8"                                                        |
| ФП     | 3812.5   | 1      | "25,3910.2,7,8; 26,3916.5,0,1"                                         | "24,3812.5,8,9"                                                        |
| ФП     | 3812.5   | 1      | "25,3910.2,7,8; 26,3916.5,0,1"                                         | "24,3812.5,9,10"                                                       |
| ФКТ    | 3951.4   | 1      | "25,3910.2,7,8; 26,3916.5,0,1; 24,3951.4,10,11"                        | ""                                                                     |
| ФКТ    | 3951.4   | 1      | "26,3916.5,0,1; 24,3951.4,10,11"                                       | "25,3910.2,7,8"                                                        |
| ФКТ    | 3951.4   | 1      | "24,3951.4,10,11"                                                      | "25,3910.2,7,8; 26,3916.5,0,1"                                         |
| ФП     | 3951.4   | 1      | ""                                                                     | "25,3910.2,7,8; 26,3916.5,0,1; 24,3951.4,10,11"                        |
| ФП     | 3951.4   | 0      | ""                                                                     | "25,3910.2,8,9; 26,3916.5,0,1; 24,3951.4,10,11"                        |
| ФП     | 3951.4   | 0      | ""                                                                     | "25,3910.2,9,10; 26,3916.5,0,1; 24,3951.4,10,11"                       |
| ФП     | 3951.4   | 0      | "25,3953.4,10,11"                                                      | "26,3916.5,0,1; 24,3951.4,10,11"                                       |
| ФП     | 3951.4   | 0      | "25,3953.4,10,11"                                                      | "26,3916.5,1,2; 24,3951.4,10,11"                                       |
| ФП     | 3951.4   | 0      | "25,3953.4,10,11; 27,4081.1,0,1"                                       | "26,3916.5,2,3; 24,3951.4,10,11"                                       |
| ФП     | 3951.4   | 0      | "25,3953.4,10,11; 27,4081.1,0,1"                                       | "26,3916.5,3,4; 24,3951.4,10,11"                                       |
| ФП     | 3951.4   | 0      | "26,3916.5,3,4; 25,3953.4,10,11; 27,4081.1,0,1"                        | "24,3951.4,10,11"                                                      |
| ФП     | 3951.4   | 0      | "26,3916.5,3,4; 25,3953.4,10,11; 27,4081.1,0,1"                        | "24,3951.4,11,11"                                                      |
| ФКТ    | 3953.4   | 0      | "26,3916.5,3,4; 25,3953.4,10,11; 27,4081.1,0,1"                        | ""                                                                     |
| ФКТ    | 3953.4   | 0      | "25,3953.4,10,11; 27,4081.1,0,1"                                       | "26,3916.5,3,4"                                                        |
| ФП     | 3953.4   | 0      | "27,4081.1,0,1"                                                        | "26,3916.5,3,4; 25,3953.4,10,11"                                       |
| ФП     | 3953.4   | 0      | "26,3944.1,4,5; 27,4081.1,0,1"                                         | "25,3953.4,10,11"                                                      |
| ФП     | 3953.4   | 0      | "26,3944.1,4,5; 27,4081.1,0,1"                                         | "25,3953.4,11,11"                                                      |
| ФКТ    | 3944.1   | 0      | "26,3944.1,4,5; 27,4081.1,0,1"                                         | ""                                                                     |
| ФП     | 3944.1   | 0      | "27,4081.1,0,1"                                                        | "26,3944.1,4,5"                                                        |
| ФП     | 3944.1   | 0      | "27,4081.1,0,1"                                                        | "26,3944.1,5,6"                                                        |
| ФП     | 3944.1   | 1      | "27,4081.1,0,1"                                                        | "26,3944.1,6,7"                                                        |
| ФКТ    | 4081.1   | 1      | "27,4081.1,0,1; 26,4115.3,7,8"                                         | ""                                                                     |
| ФП     | 4081.1   | 1      | "26,4115.3,7,8"                                                        | "27,4081.1,0,1"                                                        |
| ФП     | 4081.1   | 1      | "26,4115.3,7,8"                                                        | "27,4081.1,1,2"                                                        |
| ФП     | 4081.1   | 1      | "26,4115.3,7,8; 28,4196.1,0,1"                                         | "27,4081.1,2,3"                                                        |
| ФП     | 4081.1   | 1      | "26,4115.3,7,8; 28,4196.1,0,1"                                         | "27,4081.1,3,4"                                                        |
| ФКТ    | 4260.6   | 1      | "26,4115.3,7,8; 28,4196.1,0,1; 27,4260.6,4,5"                          | ""                                                                     |
| ФКТ    | 4260.6   | 1      | "28,4196.1,0,1; 27,4260.6,4,5"                                         | "26,4115.3,7,8"                                                        |
| ФКТ    | 4260.6   | 1      | "27,4260.6,4,5"                                                        | "26,4115.3,7,8; 28,4196.1,0,1"                                         |
| ФП     | 4260.6   | 1      | ""                                                                     | "26,4115.3,7,8; 28,4196.1,0,1; 27,4260.6,4,5"                          |
| ФП     | 4260.6   | 0      | ""                                                                     | "26,4115.3,8,9; 28,4196.1,0,1; 27,4260.6,4,5"                          |
| ФП     | 4260.6   | 0      | ""                                                                     | "26,4115.3,9,10; 28,4196.1,0,1; 27,4260.6,4,5"                         |
| ФП     | 4260.6   | 0      | "26,4292.2,10,11"                                                      | "28,4196.1,0,1; 27,4260.6,4,5"                                         |
| ФП     | 4260.6   | 0      | "26,4292.2,10,11"                                                      | "28,4196.1,1,2; 27,4260.6,4,5"                                         |
| ФП     | 4260.6   | 0      | "26,4292.2,10,11; 29,4384.0,0,1"                                       | "28,4196.1,2,3; 27,4260.6,4,5"                                         |
| ФП     | 4260.6   | 0      | "26,4292.2,10,11; 29,4384.0,0,1"                                       | "28,4196.1,3,4; 27,4260.6,4,5"                                         |
| ФП     | 4260.6   | 0      | "28,4196.1,3,4; 26,4292.2,10,11; 29,4384.0,0,1"                        | "27,4260.6,4,5"                                                        |
| ФП     | 4260.6   | 0      | "28,4196.1,3,4; 26,4292.2,10,11; 29,4384.0,0,1"                        | "27,4260.6,5,6"                                                        |
| ФП     | 4260.6   | 1      | "28,4196.1,3,4; 26,4292.2,10,11; 29,4384.0,0,1"                        | "27,4260.6,6,7"                                                        |
| ФКТ    | 4292.2   | 1      | "28,4196.1,3,4; 26,4292.2,10,11; 29,4384.0,0,1; 27,4436.3,7,8"         | ""                                                                     |
| ФКТ    | 4292.2   | 1      | "26,4292.2,10,11; 29,4384.0,0,1; 27,4436.3,7,8"                        | "28,4196.1,3,4"                                                        |
| ФП     | 4292.2   | 1      | "29,4384.0,0,1; 27,4436.3,7,8"                                         | "28,4196.1,3,4; 26,4292.2,10,11"                                       |
| ФП     | 4292.2   | 1      | "28,4316.2,4,5; 29,4384.0,0,1; 27,4436.3,7,8"                          | "26,4292.2,10,11"                                                      |
| ФП     | 4292.2   | 1      | "28,4316.2,4,5; 29,4384.0,0,1; 27,4436.3,7,8"                          | "26,4292.2,11,11"                                                      |
| ФКТ    | 4316.2   | 1      | "28,4316.2,4,5; 29,4384.0,0,1; 27,4436.3,7,8"                          | ""                                                                     |
| ФП     | 4316.2   | 1      | "29,4384.0,0,1; 27,4436.3,7,8"                                         | "28,4316.2,4,5"                                                        |
| ФП     | 4316.2   | 1      | "29,4384.0,0,1; 27,4436.3,7,8"                                         | "28,4316.2,5,6"                                                        |
| ФП     | 4316.2   | 2      | "29,4384.0,0,1; 27,4436.3,7,8"                                         | "28,4316.2,6,7"                                                        |
| ФКТ    | 4384.0   | 2      | "29,4384.0,0,1; 27,4436.3,7,8; 28,4486.2,7,8"                          | ""                                                                     |
| ФП     | 4384.0   | 2      | "27,4436.3,7,8; 28,4486.2,7,8"                                         | "29,4384.0,0,1"                                                        |
| ФП     | 4384.0   | 2      | "27,4436.3,7,8; 28,4486.2,7,8"                                         | "29,4384.0,1,2"                                                        |
| ФП     | 4384.0   | 2      | "27,4436.3,7,8; 28,4486.2,7,8; 30,4507.1,0,1"                          | "29,4384.0,2,3"                                                        |
| ФП     | 4384.0   | 2      | "27,4436.3,7,8; 28,4486.2,7,8; 30,4507.1,0,1"                          | "29,4384.0,3,4"                                                        |
| ФКТ    | 4481.7   | 2      | "27,4436.3,7,8; 29,4481.7,4,5; 28,4486.2,7,8; 30,4507.1,0,1"           | ""                                                                     |
| ФКТ    | 4481.7   | 2      | "29,4481.7,4,5; 28,4486.2,7,8; 30,4507.1,0,1"                          | "27,4436.3,7,8"                                                        |
| ФП     | 4481.7   | 2      | "28,4486.2,7,8; 30,4507.1,0,1"                                         | "27,4436.3,7,8; 29,4481.7,4,5"                                         |
| ФП     | 4481.7   | 1      | "28,4486.2,7,8; 30,4507.1,0,1"                                         | "27,4436.3,8,9; 29,4481.7,4,5"                                         |
| ФП     | 4481.7   | 1      | "28,4486.2,7,8; 30,4507.1,0,1"                                         | "27,4436.3,9,10; 29,4481.7,4,5"                                        |
| ФП     | 4481.7   | 1      | "28,4486.2,7,8; 30,4507.1,0,1; 27,4522.3,10,11"                        | "29,4481.7,4,5"                                                        |
| ФП     | 4481.7   | 1      | "28,4486.2,7,8; 30,4507.1,0,1; 27,4522.3,10,11"                        | "29,4481.7,5,6"                                                        |
| ФП     | 4481.7   | 2      | "28,4486.2,7,8; 30,4507.1,0,1; 27,4522.3,10,11"                        | "29,4481.7,6,7"                                                        |
