| Фаза   | Таймер   | Ресурс | FEC                                                                    | CEC                                                                    |
| ФП     | 630.0    | 2      | "5,646.6,0,1; 4,760.6,7,8"                                             | "2,596.7,7,8; 3,630.0,10,11"                                           |
| ФП     | 630.0    | 1      | "5,646.6,0,1; 4,760.6,7,8"                                             | "2,596.7,8,9; 3,630.0,10,11"                                           |
| ФП     | 630.0    | 1      | "5,646.6,0,1; 4,760.6,7,8"                                             | "2,596.7,9,10; 3,630.0,10,11"                                          |
| ФП     | 630.0    | 1      | "5,646.6,0,1; 2,690.5,10,11; 4,760.6,7,8"                              | "3,630.0,10,11"                                                        |
| ФП     | 630.0    | 1      | "5,646.6,0,1; 2,690.5,10,11; 4,760.6,7,8"                              | "3,630.0,11,11"                                                        |
| ФКТ    | 690.5    | 1      | "5,646.6,0,1; 2,690.5,10,11; 4,760.6,7,8"                              | ""                                                                     |
| ФКТ    | 690.5    | 1      | "2,690.5,10,11; 4,760.6,7,8"                                           | "5,646.6,0,1"                                                          |
| ФП     | 690.5    | 1      | "4,760.6,7,8"                                                          | "5,646.6,0,1; 2,690.5,10,11"                                           |
| ФП     | 690.5    | 1      | "4,760.6,7,8"                                                          | "5,646.6,1,2; 2,690.5,10,11"                                           |
| ФП     | 690.5    | 1      | "4,760.6,7,8; 6,808.9,0,1"                                             | "5,646.6,2,3; 2,690.5,10,11"                                           |
| ФП     | 690.5    | 1      | "4,760.6,7,8; 6,808.9,0,1"                                             | "5,646.6,3,4; 2,690.5,10,11"                                           |
| ФП     | 690.5    | 1      | "5,670.8,4,5; 4,760.6,7,8; 6,808.9,0,1"                                | "2,690.5,10,11"                                                        |
| ФП     | 690.5    | 1      | "5,670.8,4,5; 4,760.6,7,8; 6,808.9,0,1"                                | "2,690.5,11,11"                                                        |
| ФКТ    | 670.8    | 1      | "5,670.8,4,5; 4,760.6,7,8; 6,808.9,0,1"                                | ""                                                                     |
| ФП     | 670.8    | 1      | "4,760.6,7,8; 6,808.9,0,1"                                             | "5,670.8,4,5"                                                          |
| ФП     | 670.8    | 1      | "4,760.6,7,8; 6,808.9,0,1"                                             | "5,670.8,5,6"                                                          |
| ФП     | 670.8    | 2      | "4,760.6,7,8; 6,808.9,0,1"                                             | "5,670.8,6,7"                                                          |
| ФКТ    | 760.6    | 2      | "4,760.6,7,8; 6,808.9,0,1; 5,845.4,7,8"                                | ""                                                                     |
| ФП     | 760.6    | 2      | "6,808.9,0,1; 5,845.4,7,8"                                             | "4,760.6,7,8"                                                          |
| ФП     | 760.6    | 1      | "6,808.9,0,1; 5,845.4,7,8"                                             | "4,760.6,8,9"                                                          |
| ФП     | 760.6    | 1      | "6,808.9,0,1; 5,845.4,7,8"                                             | "4,760.6,9,10"                                                         |
| ФКТ    | 807.6    | 1      | "4,807.6,10,11; 6,808.9,0,1; 5,845.4,7,8"                              | ""                                                                     |
| ФП     | 807.6    | 1      | "6,808.9,0,1; 5,845.4,7,8"                                             | "4,807.6,10,11"                                                        |
| ФП     | 807.6    | 1      | "6,808.9,0,1; 5,845.4,7,8"                                             | "4,807.6,11,11"                                                        |
| ФКТ    | 808.9    | 1      | "6,808.9,0,1; 5,845.4,7,8"                                             | ""                                                                     |
| ФП     | 808.9    | 1      | "5,845.4,7,8"                                                          | "6,808.9,0,1"                                                          |
| ФП     | 808.9    | 1      | "5,845.4,7,8"                                                          | "6,808.9,1,2"                                                          |
| ФП     | 808.9    | 1      | "5,845.4,7,8; 7,911.6,0,1"                                             | "6,808.9,2,3"                                                          |
| ФП     | 808.9    | 1      | "5,845.4,7,8; 7,911.6,0,1"                                             | "6,808.9,3,4"                                                          |
| ФКТ    | 851.0    | 1      | "5,845.4,7,8; 6,851.0,4,5; 7,911.6,0,1"                                | ""                                                                     |
| ФКТ    | 851.0    | 1      | "6,851.0,4,5; 7,911.6,0,1"                                             | "5,845.4,7,8"                                                          |
| ФП     | 851.0    | 1      | "7,911.6,0,1"                                                          | "5,845.4,7,8; 6,851.0,4,5"                                             |
| ФП     | 851.0    | 0      | "7,911.6,0,1"                                                          | "5,845.4,8,9; 6,851.0,4,5"                                             |
| ФП     | 851.0    | 0      | "7,911.6,0,1"                                                          | "5,845.4,9,10; 6,851.0,4,5"                                            |
| ФП     | 851.0    | 0      | "7,911.6,0,1; 5,996.7,10,11"                                           | "6,851.0,4,5"                                                          |
| ФП     | 851.0    | 0      | "7,911.6,0,1; 5,996.7,10,11"                                           | "6,851.0,5,6"                                                          |
| ФП     | 851.0    | 1      | "7,911.6,0,1; 5,996.7,10,11"                                           | "6,851.0,6,7"                                                          |
